case_id,last_time_step,last_sim_time_s
case_000001,700,22.48179
case_000002,700,29.695
case_000003,600,29.34678
case_000004,600,15.83094
case_000005,500,15.97908
case_000006,500,21.20436
case_000007,400,11.42154
case_000008,400,11.01447
case_000009,300,10.78062
case_000010,300,10.76877
case_000011,300,10.67599
case_000012,200,5.74409
case_000013,200,6.04391
case_000014,200,10.9088
case_000015,100,3.22856
case_000016,100,3.68033
case_000017,90,3.24558
case_000018,60,2.45176
