epoch,train_mse,val_mse
1,0.997771143913269,2.5503976345062256
2,0.9294865727424622,2.611067533493042
3,0.8615530729293823,2.6192729473114014
4,0.7977555394172668,2.5944182872772217
5,0.7374420762062073,2.5435547828674316
6,0.6785802245140076,2.489624500274658
7,0.609176754951477,2.423880100250244
8,0.5366004705429077,2.346707582473755
9,0.46196645498275757,2.2574307918548584
10,0.38848748803138733,2.1557223796844482
11,0.3198930621147156,2.040768623352051
12,0.2597990036010742,1.9095377922058105
13,0.21090640127658844,1.7499825954437256
14,0.16701799631118774,1.562431812286377
15,0.12745682895183563,1.3548749685287476
16,0.08807380497455597,1.139466643333435
17,0.051950130611658096,0.9286425709724426
18,0.025477252900600433,0.7349782586097717
19,0.014497523196041584,0.5706638097763062
20,0.020610222592949867,0.4451858699321747
21,0.039199892431497574,0.3620365262031555
22,0.060939449816942215,0.32363349199295044
23,0.07462053745985031,0.3192111849784851
24,0.07574211806058884,0.3418106436729431
25,0.06573773175477982,0.3872656226158142
26,0.0493963249027729,0.4517207443714142
27,0.03196476772427559,0.5311459898948669
28,0.017202096059918404,0.6205227375030518
29,0.007322114426642656,0.7138674259185791
30,0.0028874576091766357,0.8046225905418396
31,0.003191277850419283,0.8862490653991699
32,0.006754816044121981,0.9529561400413513
33,0.011801854707300663,1.0004875659942627
34,0.016655191779136658,1.0266671180725098
35,0.020029904320836067,1.0314462184906006
36,0.021196801215410233,1.0165377855300903
37,0.02001798339188099,0.9849222302436829
38,0.01687992364168167,0.9403762221336365
39,0.01254495419561863,0.8870713114738464
40,0.007946530357003212,0.8292328715324402
41,0.0039679002948105335,0.7708551287651062
42,0.001252934685908258,0.7154751420021057
43,8.701342449057847e-05,0.6660051941871643
44,0.00036881648702546954,0.6246330738067627
45,0.0016735719982534647,0.5927952527999878
46,0.0033903142903000116,0.5712050795555115
47,0.0048987544141709805,0.5599290728569031
48,0.005737555678933859,0.5584762096405029
49,0.005712597165256739,0.5658862590789795
50,0.004912702366709709,0.580809473991394
51,0.0036352048628032207,0.6015819311141968
52,0.0022589804138988256,0.6263154149055481
53,0.0011167621705681086,0.6530028581619263
54,0.0004086006374564022,0.6796492338180542
55,0.00017508986638858914,0.704409122467041
56,0.00032429909333586693,0.7257167100906372
57,0.0006904004258103669,0.742389976978302
